name,address,categories,description,services,email,pops_served,hand_sort__001,crisis_line,business_line,fax_number,insurance ,cost,languages,website,hand_sort__002,hand_sort__003,hand_sort__004,hand_sort__005,hand_sort__006,hand_sort__007,hand_sort__008,hand_sort__009,hand_sort__010,hand_sort__011,hand_sort__012,hand_sort__013,hand_sort__014,hand_sort__015,hand_sort__016,hand_sort__017,hand_sort__018,hand_sort__019,languges,wheelchair
9to5 National Job Survival Hotline 1,207 E Buffalo St #211 WI 53202,Legal: Services Employment Hotlines,"Provides information on legal rights, strategies to win fair treatment on the job, and ways to get involved with 9to5 in your community. No documentation required. Over the phone.",This entry needs a services list,9to5@9to5.org,This entry needs a populations served list,,800-522-0925,414-274-0925,414-272-2870,,free,,www.9to5.org,,,,,,,,,,,,,,,,,,,,This entry needs Wheelchair accessibliy info
A Safe Place 2,PO Box 23006 Oakland CA 94623,Domestic Violence Hotlines Housing/Shelter,Comprehensive residential counseling services for women in abusive relationships. No documentation required. Must be clean & sober or in program for substance abuse.,"Will help obtain TRO‰Ûªs. 20 bed, 8-week program provides food, shelter, advocacy, legal advice, referrals.",programs@asafeplacedvs.org,Women and children OK (boys up to 17).,Crisis line: Business line: Fax:,,,,,,,www.asafeplacedvs.org,TDD:,Insurance: Fees: Hours: Ages:,510-536-7233,510-986-8600,510-986-8606,N/A FREE,Varies 18+,,Spanish,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
A Woman‰Ûªs Place 3,1049 Howard St. San Francisco CA 94103,Housing/Shelter Emergency Needs Counseling: Peer,Overnight & long-term shelter for homeless women (up to 18 months). No documentation required. 15 beds for HIV+ women.,"Provide food, showers, case management, counseling. Also provides services to sex workers. Several beds saved for battered or raped women.",This entry needs an email address,Accept pregnant women but no children.,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-487-2140,415-487-2140,415-703-9657,Varies 24/7,18+,,Wheelchair Accessible: Yes,Spanish,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
A Woman‰Ûªs Place: Calaveras 4,PO BOX 822 Merced CA 95341,CA Rape Crisis Center Domestic Violence,Serves survivors of domestic violence and /or sexual assault,"Emergency shelter, transportation, advocacy, court accompaniment, individual and group counseling, TRO‰Ûªs, community outreach and education",,Merced County,Crisis line: Business line: Fax:,,,,,,,www.awpofmerced.org,TDD:,Insurance: Fees: Hours: Ages:,209-722-4357,209-725-7900,209-725-7908,FREE,9-5 M-F,All,,Wheelchair Accessible: Yes,"Spanish, Hmong, materials in braile",,,,,,,,"Spanish, Hmong, materials in braile",This entry needs Wheelchair accessibliy info
A.P.I. Legal Outreach 5,1188 Franklin St #202 San Francisco CA 94109,Asian/Pacific Islander Domestic Violence Legal: Services,Non-profit community law office serving battered primarily Asian & Pacific Islander women.,"Legal services for clients in family law, VAWA, elder abuse, domestic violence and public benefits (including SSI)",,Primarily Asian American women,Crisis line: Business line: Fax:,,,,,,,www.apilegaloutreach.org,TDD:,Insurance: Fees: Hours: Ages:,415-567-6255,415-567-6248,Sliding scale 9-5 M-F,All,,Wheelchair Accessible: Yes,Many,,,,,,,,,,Many,This entry needs Wheelchair accessibliy info
AASRA 6,41835 Albrae St Fremont CA 94538,This entry needs a categories list,"Shelter for South Asian Victims of Domestic Violence. This shelter is open to battered women of all races, but also has staff able to speak many Indian languages.",This entry needs a services list,,South Asian,Crisis line: Business line: Fax:,,,,,,,www.sawnet.org/orgns/aasra.ht Categories:,TDD:,Insurance: Fees: Hours: Ages:,800-313-2772,510-651-0178,,ml,Asian/Pacific Islander Domestic Violence,,,,,,,,,,,,This entry needs a languages list,This entry needs Wheelchair accessibliy info
ACCESS / Women‰Ûªs Health Rights Coalition 7,PO Box 3609 Oakland CA 94609,Hotlines Health Clinics,Mental health focused. For Spanish: 888-442- 2237.,"Information and Referral / Counseling regarding women‰Ûªs health, abortion, prenatal care, birth control, emergency contraception, emergency medical , focus on teens, also provide",info@whrc-access.org,"Youth, women seeking abortion services, women with medical risk factors seeking",Crisis line: Business line: Fax:,,,,,,,www.whrc-access.org,TDD:,Insurance: Fees: Hours: Ages:,800-376-4636,510-923-0739,510-923-0014,N/A FREE,Varies All,,Yes,"transportation, housing.","Spanish, Punjabi, Varies",,,,,,,,"Spanish, Punjabi, Varies",Yes
Adolecent Family Life Program 8,"2730 Bryant St., 2nd Fl San Francisco CA 94110",Youth,"Cithywide continuous case management services program. Case managers help to ensure that pregnant and parenting teens have access to all available health, education, and",Wheelchair Accessible: Yes,This entry needs an email address,All,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-695-8300,415-824-2416,FREE,8:30-5 M-F,All,,Spanish,,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
African Immigrant and Refugee Resource Center 9,"1290 Fillmore Street, Suite 104 San Francisco CA 94115",African American/Blac Immigrant Employment,"Employment, legal and social assistance to refugees and immigrants from Africa.","Information and referral, legal assistance, employment training programs. ESL classes, childcare, temporary shelter.",,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,www.airrc.org,TDD:,Insurance: Fees: Hours: Ages:,415-433-7300,415-433-7308,9-5 M-F,,Wheelchair Accessible: Yes,"Swahili, French, Arabic",,,,,,,,,,,"Swahili, French, Arabic",This entry needs Wheelchair accessibliy info
AIDS Emergency Fund & Breast Cancer Emergency Fund 10,"955 Mission St, Ste 630 San Francisco CA 94103",This entry needs a categories list,"Emergency financial assistance to cover medication, utilities, and move-in costs for people with AIDS or disabling HIV.","Provides assistance in paying rent, medical bills not covered by insurance.",leeha@aef-sf.org,low income,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-558-6999,415-558-6990,N/A FREE,Varies,,Wheelchair Accessible: Yes,"Spanish, ASL",HIV/AIDS Cancer Emergency Needs,,,,,,,,,This entry needs a languges list,This entry needs Wheelchair accessibliy info
AIDS Health Project Alternative Testing Site 11,UCSF Box 1312 San Francisco CA 94143,HIV/AIDS Health Clinics,"Provides free, anonymous HIV testing",Wheelchair Accessible: Yes,This entry needs an email address,This entry needs a populations served list,Crisis line: Business line: Fax:,,,,,,,This entry needs a website,TDD:,Insurance: Fees: Hours: Ages:,415-502-TEST,415-502-7230,8:30-6 M-F,,Spanish with notice.,,,,,,,,,,,,Spanish with notice.,This entry needs Wheelchair accessibliy info
